Date,Building,Power_kW,Voltage,Current,Energy_kWh,Status
2026-01-01,Admin Block,131,415,212,1310,Normal
2026-01-02,Admin Block,94,415,226,940,Normal
2026-01-03,Admin Block,151,415,140,1510,High
2026-01-04,Admin Block,162,415,194,1620,High
2026-01-05,Admin Block,154,415,207,1540,High
2026-01-06,Admin Block,179,415,223,1790,High
2026-01-07,Admin Block,103,415,172,1030,Normal
2026-01-08,Admin Block,81,415,207,810,Normal
2026-01-09,Admin Block,109,415,157,1090,Normal
2026-01-10,Admin Block,81,415,140,810,Normal
2026-01-11,Admin Block,112,415,177,1120,Normal
2026-01-12,Admin Block,101,415,208,1010,Normal
2026-01-13,Admin Block,128,415,178,1280,Normal
2026-01-14,Admin Block,121,415,134,1210,Normal
2026-01-15,Admin Block,141,415,170,1410,Normal
2026-01-16,Admin Block,134,415,183,1340,Normal
2026-01-17,Admin Block,82,415,170,820,Normal
2026-01-18,Admin Block,86,415,140,860,Normal
2026-01-19,Admin Block,152,415,137,1520,High
2026-01-20,Admin Block,83,415,208,830,Normal
2026-01-21,Admin Block,139,415,133,1390,Normal
2026-01-22,Admin Block,88,415,209,880,Normal
2026-01-23,Admin Block,132,415,249,1320,Normal
2026-01-24,Admin Block,163,415,211,1630,High
2026-01-25,Admin Block,139,415,127,1390,Normal
2026-01-26,Admin Block,126,415,154,1260,Normal
2026-01-27,Admin Block,157,415,200,1570,High
2026-01-28,Admin Block,115,415,169,1150,Normal
2026-01-29,Admin Block,83,415,121,830,Normal
2026-01-30,Admin Block,85,415,173,850,Normal
2026-01-31,Admin Block,83,415,173,830,Normal
2026-01-01,Engineering Faculty,172,415,163,1720,High
2026-01-02,Engineering Faculty,113,415,133,1130,Normal
2026-01-03,Engineering Faculty,174,415,167,1740,High
2026-01-04,Engineering Faculty,94,415,159,940,Normal
2026-01-05,Engineering Faculty,164,415,201,1640,High
2026-01-06,Engineering Faculty,132,415,143,1320,Normal
2026-01-07,Engineering Faculty,105,415,243,1050,Normal
2026-01-08,Engineering Faculty,120,415,134,1200,Normal
2026-01-09,Engineering Faculty,124,415,184,1240,Normal
2026-01-10,Engineering Faculty,168,415,190,1680,High
2026-01-11,Engineering Faculty,88,415,207,880,Normal
2026-01-12,Engineering Faculty,80,415,182,800,Normal
2026-01-13,Engineering Faculty,90,415,200,900,Normal
2026-01-14,Engineering Faculty,87,415,152,870,Normal
2026-01-15,Engineering Faculty,84,415,160,840,Normal
2026-01-16,Engineering Faculty,107,415,191,1070,Normal
2026-01-17,Engineering Faculty,91,415,152,910,Normal
2026-01-18,Engineering Faculty,127,415,181,1270,Normal
2026-01-19,Engineering Faculty,167,415,156,1670,High
2026-01-20,Engineering Faculty,178,415,223,1780,High
2026-01-21,Engineering Faculty,165,415,154,1650,High
2026-01-22,Engineering Faculty,144,415,220,1440,Normal
2026-01-23,Engineering Faculty,126,415,120,1260,Normal
2026-01-24,Engineering Faculty,84,415,222,840,Normal
2026-01-25,Engineering Faculty,106,415,134,1060,Normal
2026-01-26,Engineering Faculty,169,415,161,1690,High
2026-01-27,Engineering Faculty,156,415,182,1560,High
2026-01-28,Engineering Faculty,175,415,171,1750,High
2026-01-29,Engineering Faculty,175,415,148,1750,High
2026-01-30,Engineering Faculty,115,415,132,1150,Normal
2026-01-31,Engineering Faculty,111,415,190,1110,Normal
2026-01-01,Colleges,138,415,205,1380,Normal
2026-01-02,Colleges,107,415,185,1070,Normal
2026-01-03,Colleges,121,415,164,1210,Normal
2026-01-04,Colleges,141,415,147,1410,Normal
2026-01-05,Colleges,107,415,227,1070,Normal
2026-01-06,Colleges,123,415,203,1230,Normal
2026-01-07,Colleges,109,415,194,1090,Normal
2026-01-08,Colleges,171,415,248,1710,High
2026-01-09,Colleges,106,415,240,1060,Normal
2026-01-10,Colleges,156,415,122,1560,High
2026-01-11,Colleges,149,415,181,1490,High
2026-01-12,Colleges,116,415,170,1160,Normal
2026-01-13,Colleges,123,415,178,1230,Normal
2026-01-14,Colleges,111,415,215,1110,Normal
2026-01-15,Colleges,167,415,232,1670,High
2026-01-16,Colleges,141,415,171,1410,Normal
2026-01-17,Colleges,91,415,158,910,Normal
2026-01-18,Colleges,81,415,232,810,Normal
2026-01-19,Colleges,135,415,200,1350,Normal
2026-01-20,Colleges,138,415,232,1380,Normal
2026-01-21,Colleges,81,415,249,810,Normal
2026-01-22,Colleges,171,415,173,1710,High
2026-01-23,Colleges,166,415,248,1660,High
2026-01-24,Colleges,98,415,245,980,Normal
2026-01-25,Colleges,81,415,172,810,Normal
2026-01-26,Colleges,123,415,187,1230,Normal
2026-01-27,Colleges,134,415,242,1340,Normal
2026-01-28,Colleges,96,415,157,960,Normal
2026-01-29,Colleges,103,415,188,1030,Normal
2026-01-30,Colleges,177,415,216,1770,High
2026-01-31,Colleges,152,415,243,1520,High
