Date,Solar_PV_MWh,Grid_Intake_MWh,Battery_Level_Percentage,Efficiency_Rate
2026-01-01,14,44,88,0.91
2026-01-02,6,24,93,0.96
2026-01-03,10,21,61,0.93
2026-01-04,5,48,66,0.98
2026-01-05,11,36,96,0.91
2026-01-06,12,38,57,0.95
2026-01-07,5,42,86,0.96
2026-01-08,10,27,74,0.97
2026-01-09,14,28,94,0.95
2026-01-10,14,35,56,0.98
2026-01-11,14,40,71,0.97
2026-01-12,9,26,58,0.92
2026-01-13,12,37,72,0.96
2026-01-14,8,26,84,0.93
2026-01-15,14,26,66,0.95
2026-01-16,12,22,93,0.91
2026-01-17,6,22,86,0.94
2026-01-18,14,42,72,0.91
2026-01-19,12,36,53,0.96
2026-01-20,13,32,67,0.94
2026-01-21,14,31,51,0.9
2026-01-22,14,21,79,0.9
2026-01-23,6,22,88,0.9
2026-01-24,5,48,93,0.95
2026-01-25,12,31,96,0.93
2026-01-26,13,26,69,0.96
2026-01-27,5,22,94,0.93
2026-01-28,6,23,67,0.92
2026-01-29,13,35,50,0.97
2026-01-30,13,34,98,0.93
2026-01-31,8,31,86,0.96
2026-02-01,15,46,89,0.99
2026-02-02,6,29,97,0.99
2026-02-03,12,21,62,0.99
2026-02-04,5,55,61,0.97
2026-02-05,11,40,106,0.98
2026-02-06,12,41,64,0.99
2026-02-07,6,49,94,0.99
2026-02-08,12,29,73,0.97
2026-02-09,13,30,98,0.96
2026-02-10,13,37,59,0.96
2026-02-11,16,45,77,0.97
2026-02-12,10,29,63,0.95
2026-02-13,12,37,72,0.93
2026-02-14,9,25,89,0.98
2026-02-15,12,27,71,0.99
2026-02-16,13,22,106,0.91
2026-02-17,6,23,94,0.99
2026-02-18,15,47,79,0.98
2026-02-19,12,37,56,0.99
2026-02-20,14,34,76,0.95
2026-02-21,14,33,55,0.99
2026-02-22,15,23,79,0.89
2026-02-23,6,20,100,0.99
2026-02-24,5,49,102,0.99
2026-02-25,12,33,98,0.99
2026-02-26,14,29,70,0.94
2026-02-27,6,22,100,0.93
2026-02-28,6,22,72,0.99
2026-02-28,14,38,53,0.96
2026-02-28,13,34,105,0.99
2026-02-28,8,30,99,0.93
2026-03-01,16,45,93,0.99
2026-03-02,6,27,100,0.99
2026-03-03,11,25,72,0.98
2026-03-04,6,54,79,0.99
2026-03-05,12,42,109,0.97
2026-03-06,14,46,60,0.99
2026-03-07,6,49,105,0.99
2026-03-08,11,30,79,0.99
2026-03-09,15,33,102,0.99
2026-03-10,14,39,63,0.99
2026-03-11,16,44,85,0.99
2026-03-12,9,28,67,0.99
2026-03-13,13,44,81,0.99
2026-03-14,9,27,95,0.99
2026-03-15,16,31,73,0.96
2026-03-16,13,25,105,0.97
2026-03-17,6,22,82,0.99
2026-03-18,16,47,78,0.99
2026-03-19,13,35,59,0.99
2026-03-20,15,36,69,0.99
2026-03-21,16,36,57,0.99
2026-03-22,14,22,86,0.99
2026-03-23,7,24,106,0.95
2026-03-24,6,58,111,0.98
2026-03-25,12,33,103,0.96
2026-03-26,14,27,75,0.99
2026-03-27,5,26,103,0.99
2026-03-28,7,28,72,0.97
2026-03-29,15,39,56,0.99
2026-03-30,15,39,103,0.99
2026-03-31,9,37,89,0.99
