Date,Location,Moisture_Percentage,Health_Status,Irrigation_Status
2026-01-01,Engineering Faculty,46,Normal,Idle
2026-01-02,Engineering Faculty,55,Normal,Idle
2026-01-03,Engineering Faculty,50,Normal,Idle
2026-01-04,Engineering Faculty,57,Normal,Idle
2026-01-05,Engineering Faculty,87,Wet,Idle
2026-01-06,Engineering Faculty,75,Normal,Idle
2026-01-07,Engineering Faculty,31,Dry,Active
2026-01-08,Engineering Faculty,89,Wet,Idle
2026-01-09,Engineering Faculty,83,Wet,Idle
2026-01-10,Engineering Faculty,72,Normal,Idle
2026-01-11,Engineering Faculty,30,Dry,Active
2026-01-12,Engineering Faculty,80,Wet,Idle
2026-01-13,Engineering Faculty,82,Wet,Idle
2026-01-14,Engineering Faculty,65,Normal,Idle
2026-01-15,Engineering Faculty,80,Wet,Idle
2026-01-16,Engineering Faculty,55,Normal,Idle
2026-01-17,Engineering Faculty,58,Normal,Idle
2026-01-18,Engineering Faculty,50,Normal,Idle
2026-01-19,Engineering Faculty,40,Normal,Idle
2026-01-20,Engineering Faculty,69,Normal,Idle
2026-01-21,Engineering Faculty,40,Normal,Idle
2026-01-22,Engineering Faculty,65,Normal,Idle
2026-01-23,Engineering Faculty,78,Wet,Idle
2026-01-24,Engineering Faculty,88,Wet,Idle
2026-01-25,Engineering Faculty,68,Normal,Idle
2026-01-26,Engineering Faculty,69,Normal,Idle
2026-01-27,Engineering Faculty,64,Normal,Idle
2026-01-28,Engineering Faculty,83,Wet,Idle
2026-01-29,Engineering Faculty,63,Normal,Idle
2026-01-30,Engineering Faculty,84,Wet,Idle
2026-01-31,Engineering Faculty,76,Wet,Idle
2026-01-01,Admin Block,53,Normal,Idle
2026-01-02,Admin Block,83,Wet,Idle
2026-01-03,Admin Block,51,Normal,Idle
2026-01-04,Admin Block,34,Dry,Active
2026-01-05,Admin Block,85,Wet,Idle
2026-01-06,Admin Block,62,Normal,Idle
2026-01-07,Admin Block,87,Wet,Idle
2026-01-08,Admin Block,65,Normal,Idle
2026-01-09,Admin Block,76,Wet,Idle
2026-01-10,Admin Block,49,Normal,Idle
