Date,Location,Bin_ID,Fill_Level,Weight,Temp,Status
2026-01-01,Cafeteria,BIN-CA-4,81,34,37,Near Full
2026-01-02,Cafeteria,BIN-CA-1,61,27,32,OK
2026-01-03,Cafeteria,BIN-CA-3,91,17,38,Full
2026-01-04,Cafeteria,BIN-CA-3,51,38,30,OK
2026-01-05,Cafeteria,BIN-CA-3,42,24,25,OK
2026-01-06,Cafeteria,BIN-CA-1,44,10,39,OK
2026-01-07,Cafeteria,BIN-CA-2,85,30,32,Near Full
2026-01-08,Cafeteria,BIN-CA-3,70,28,30,OK
2026-01-09,Cafeteria,BIN-CA-3,25,16,27,OK
2026-01-10,Cafeteria,BIN-CA-2,91,29,39,Full
2026-01-11,Cafeteria,BIN-CA-1,48,29,38,OK
2026-01-12,Cafeteria,BIN-CA-4,46,38,30,OK
2026-01-13,Cafeteria,BIN-CA-1,76,38,29,Near Full
2026-01-14,Cafeteria,BIN-CA-3,46,10,38,OK
2026-01-15,Cafeteria,BIN-CA-2,87,11,34,Near Full
2026-01-16,Cafeteria,BIN-CA-3,24,19,25,OK
2026-01-17,Cafeteria,BIN-CA-1,57,24,28,OK
2026-01-18,Cafeteria,BIN-CA-4,71,24,37,OK
2026-01-19,Cafeteria,BIN-CA-1,27,38,39,OK
2026-01-20,Cafeteria,BIN-CA-4,87,22,26,Near Full
2026-01-21,Cafeteria,BIN-CA-3,46,28,27,OK
2026-01-22,Cafeteria,BIN-CA-4,55,35,35,OK
2026-01-23,Cafeteria,BIN-CA-1,46,29,35,OK
2026-01-24,Cafeteria,BIN-CA-4,93,15,30,Full
2026-01-25,Cafeteria,BIN-CA-3,91,24,34,Full
2026-01-26,Cafeteria,BIN-CA-3,65,21,34,OK
2026-01-27,Cafeteria,BIN-CA-4,32,39,26,OK
2026-01-28,Cafeteria,BIN-CA-3,79,21,36,Near Full
2026-01-29,Cafeteria,BIN-CA-1,87,33,29,Near Full
2026-01-30,Cafeteria,BIN-CA-3,91,19,25,Full
2026-01-31,Cafeteria,BIN-CA-2,50,18,30,OK
2026-01-01,Colleges,BIN-CO-1,70,23,32,OK
2026-01-02,Colleges,BIN-CO-2,60,20,31,OK
2026-01-03,Colleges,BIN-CO-2,20,14,29,OK
2026-01-04,Colleges,BIN-CO-2,55,32,33,OK
2026-01-05,Colleges,BIN-CO-3,20,31,31,OK
2026-01-06,Colleges,BIN-CO-3,59,30,39,OK
2026-01-07,Colleges,BIN-CO-1,92,18,34,Full
2026-01-08,Colleges,BIN-CO-1,71,30,34,OK
2026-01-09,Colleges,BIN-CO-3,60,29,33,OK
2026-01-10,Colleges,BIN-CO-2,94,11,31,Full
2026-01-11,Colleges,BIN-CO-3,53,26,35,OK
