Date,Location,pH,Turbidity,DO,Conductivity,Status
2026-01-01,Campus Lake,8.37,7.8,7.5,343,Normal
2026-01-02,Campus Lake,6.21,9.0,7.2,154,Warning
2026-01-03,Campus Lake,6.07,5.0,8.2,326,Warning
2026-01-04,Campus Lake,6.94,8.0,6.6,208,Normal
2026-01-05,Campus Lake,8.11,8.7,6.9,248,Normal
2026-01-06,Campus Lake,6.33,2.1,5.3,346,Warning
2026-01-07,Campus Lake,8.5,10.0,7.2,202,Normal
2026-01-08,Campus Lake,8.36,8.8,6.0,227,Normal
2026-01-09,Campus Lake,6.51,4.0,6.1,153,Normal
2026-01-10,Campus Lake,6.57,7.4,7.5,241,Normal
2026-01-11,Campus Lake,6.67,2.2,7.0,331,Normal
2026-01-12,Campus Lake,7.93,6.2,8.4,203,Normal
2026-01-13,Campus Lake,8.42,2.7,8.2,294,Normal
2026-01-14,Campus Lake,6.34,2.2,8.0,234,Warning
2026-01-15,Campus Lake,7.6,8.4,8.6,341,Normal
2026-01-16,Campus Lake,6.04,4.8,7.4,179,Warning
2026-01-17,Campus Lake,7.39,2.7,7.9,315,Normal
2026-01-18,Campus Lake,7.13,9.3,6.2,255,Normal
2026-01-19,Campus Lake,8.16,9.6,5.6,333,Normal
2026-01-20,Campus Lake,8.11,8.2,5.3,218,Normal
2026-01-21,Campus Lake,8.45,5.9,6.3,192,Normal
2026-01-22,Campus Lake,6.6,2.6,5.5,332,Normal
2026-01-23,Campus Lake,7.46,5.2,7.8,281,Normal
2026-01-24,Campus Lake,6.45,4.8,8.6,344,Warning
2026-01-25,Campus Lake,7.29,9.8,7.4,200,Normal
2026-01-26,Campus Lake,6.1,3.4,6.1,210,Warning
2026-01-27,Campus Lake,6.08,6.4,7.1,161,Warning
2026-01-28,Campus Lake,6.52,4.9,7.0,194,Normal
2026-01-29,Campus Lake,6.8,2.7,6.9,205,Normal
2026-01-30,Campus Lake,8.18,9.4,5.2,175,Normal
2026-01-31,Campus Lake,8.17,2.7,7.4,329,Normal
